date,session,n1,n2,n3,n4,n5
1407,Soir,17,47,22,42,80
1408,Soir,32,10,87,51,30
1409,Soir,50,67,79,24,25
1410,Soir,51,16,42,25,4
1411,Soir,15,73,50,10,90
1412,Soir,35,43,17,85,46
1413,Soir,70,61,66,42,4
1414,Soir,38,74,88,44,8
1415,Soir,78,37,36,56,35
1416,Soir,27,89,66,38,43
1417,Soir,34,64,30,58,31
1418,Soir,33,56,59,10,37
1419,Soir,3,37,12,66,7
1420,Soir,54,89,31,55,69
1421,Soir,13,83,60,8,18
1422,Soir,10,55,77,76,37
1423,Soir,35,89,59,74,13
1424,Soir,2,25,34,81,63
1425,Soir,75,88,63,14,89
1426,Soir,5,78,15,58,79
1427,Soir,40,73,22,74,69
1428,Soir,89,61,31,56,12
1429,Soir,26,88,85,38,12
1430,Soir,1,27,16,73,34
1431,Soir,27,4,17,82,71
1432,Soir,2,9,53,39,68
1433,Soir,63,31,49,79,34
1434,Soir,67,29,11,85,61
1435,Soir,54,81,41,11,48
1436,Soir,78,16,27,32,59
1437,Soir,42,16,48,88,71
1438,Soir,87,63,37,2,9
1439,Soir,11,61,20,31,64
1440,Soir,16,9,3,38,19
1441,Soir,71,58,65,90,17
1442,Soir,38,16,10,25,59
1443,Soir,44,33,16,24,48
1444,Soir,7,51,30,56,38
1445,Soir,80,70,88,59,36
1446,Soir,89,90,8,79,9
1447,Soir,90,65,68,13,21
1448,Soir,31,80,48,90,3
1449,Soir,48,35,7,10,29
1450,Soir,83,68,8,48,27
1451,Soir,4,48,26,69,64
1452,Soir,18,59,11,81,31
1453,Soir,25,74,57,80,45
1454,Soir,86,7,50,3,27
1455,Soir,44,54,90,73,46
1456,Soir,48,65,19,81,39
1457,Soir,26,78,48,66,33
1458,Soir,53,64,38,34,11
1459,Soir,35,72,11,82,56
1460,Soir,55,34,16,85,9
1461,Soir,53,44,24,87,16
1462,Soir,51,13,85,80,47
1463,Soir,67,28,39,42,48
1464,Soir,30,40,9,54,20
1465,Soir,18,40,37,39,48
1466,Soir,23,83,42,33,10
1467,Soir,31,14,25,29,72
1468,Soir,60,62,5,41,43
1469,Soir,59,37,62,17,73
1470,Soir,7,53,41,44,50
1471,Soir,24,26,70,13,35
1472,Soir,15,65,73,14,30
1473,Soir,23,36,52,80,65
1474,Soir,65,70,21,81,26
1475,Soir,15,88,82,34,49
1476,Soir,77,23,12,56,1
1477,Soir,42,86,67,78,68
1478,Soir,50,82,40,23,37
1479,Soir,75,82,26,33,13
1480,Soir,6,82,81,18,5
1481,Soir,90,51,4,39,69
1482,Soir,66,60,11,49,65
1483,Soir,41,77,65,86,34
1484,Soir,62,80,75,3,45
1485,Soir,16,90,49,41,68
1486,Soir,12,35,3,77,61
1487,Soir,11,57,8,68,25
1488,Soir,32,45,46,60,83
1489,Soir,10,52,48,39,78
1490,Soir,48,83,14,60,22
1491,Soir,85,29,19,4,78
1492,Soir,49,34,1,10,24
1493,Soir,52,67,21,22,8
1494,Soir,83,73,55,72,17
1495,Soir,33,62,25,26,5
1496,Soir,51,36,87,17,18
1497,Soir,29,52,76,79,26
1498,Soir,35,85,4,69,1
1499,Soir,16,48,76,69,80
1500,Soir,45,53,5,78,42
1501,Soir,73,88,7,6,81
1502,Soir,39,27,75,25,35
1503,Soir,3,9,47,82,1
1504,Soir,89,33,90,83,23
1505,Soir,78,79,53,87,47
1506,Soir,90,74,38,12,24
1507,Soir,69,3,20,88,38
1508,Soir,4,8,86,30,54
1509,Soir,41,25,57,48,85
1510,Soir,4,63,28,8,40
1511,Soir,12,72,88,40,2
1512,Soir,20,56,7,18,79
1513,Soir,78,2,65,11,54
1514,Soir,27,25,11,52,10
1515,Soir,52,4,73,20,23
1516,Soir,41,36,86,33,11
1517,Soir,56,36,69,25,8
1518,Soir,15,3,10,87,47
1519,Soir,61,71,20,10,39
1520,Soir,63,68,60,90,71
1521,Soir,73,43,42,67,1
1522,Soir,43,70,32,89,20
1523,Soir,89,41,23,15,7
1524,Soir,13,46,86,68,40
1525,Soir,22,51,86,44,15
1526,Soir,79,46,75,52,56
1527,Soir,10,83,17,59,31
1528,Soir,20,15,30,79,90
1529,Soir,22,62,48,42,64
1530,Soir,9,61,73,15,81
1531,Soir,13,56,45,83,41
1532,Soir,1,24,69,33,15
1533,Soir,80,51,77,22,64
1534,Soir,69,25,49,2,52
1535,Soir,10,42,49,69,12
1536,Soir,43,17,36,47,20
1537,Soir,35,38,24,3,71
1538,Soir,16,80,23,67,52
1539,Soir,52,36,17,80,81
1540,Soir,63,67,76,38,33
1541,Soir,34,12,84,16,48
1542,Soir,74,20,69,4,45
1543,Soir,47,38,23,82,80
1544,Soir,68,40,47,87,54
1545,Soir,52,54,16,72,55
1546,Soir,61,29,85,37,63
1547,Soir,50,14,61,46,11
1548,Soir,12,68,17,25,11
1549,Soir,50,83,22,55,42
1550,Soir,76,74,31,15,47
1551,Soir,6,53,90,39,62
1552,Soir,73,37,40,20,25
1553,Soir,44,56,39,17,22
1554,Soir,21,1,80,7,72
1555,Soir,14,39,31,85,6
1556,Soir,22,63,29,65,18
1557,Soir,17,75,70,37,1
1558,Soir,53,51,65,17,40
1559,Soir,11,30,75,55,1
1560,Soir,20,14,88,41,83
1561,Soir,47,51,35,6,64
1562,Soir,77,38,47,66,25
1563,Soir,1,58,84,48,86
1564,Soir,76,31,63,6,60
1565,Soir,11,1,37,26,8
1566,Soir,14,46,25,81,13
1567,Soir,32,38,21,68,16
1568,Soir,37,19,89,52,16
1569,Soir,72,13,90,46,59
1570,Soir,56,57,30,83,24
1571,Soir,42,38,11,80,27
1572,Soir,41,56,32,76,82
1573,Soir,21,77,9,59,83
1574,Soir,74,78,1,67,19
1575,Soir,48,20,52,38,65
1576,Soir,25,69,32,11,85
1577,Soir,51,61,26,71,15
1578,Soir,38,6,47,78,82
1579,Soir,22,6,60,25,88
1580,Soir,51,2,69,72,42
1581,Soir,35,1,21,72,39
1582,Soir,29,19,23,83,68
1583,Soir,27,52,36,37,16
1584,Soir,17,90,19,62,27
1585,Soir,16,88,47,86,84
1586,Soir,72,42,37,57,8
1587,Soir,2,53,34,88,64
1588,Soir,21,29,37,68,50
1589,Soir,14,41,28,27,36
1590,Soir,9,85,34,14,74
1591,Soir,49,41,33,22,58
1592,Soir,71,15,49,28,64
1593,Soir,76,44,65,42,16
1594,Soir,12,57,45,76,70
1595,Soir,74,21,85,83,26
1596,Soir,54,19,82,59,61
1597,Soir,2,55,32,62,38
1598,Soir,88,84,78,53,22
1599,Soir,4,67,26,36,86
1600,Soir,69,74,59,54,50
1601,Soir,75,23,83,73,12
1602,Soir,2,54,59,8,44
1603,Soir,66,74,57,34,25
1604,Soir,38,69,72,70,42
1605,Soir,86,22,51,65,19
1606,Soir,10,82,88,62,1
1607,Soir,72,19,85,60,56
1608,Soir,28,4,84,8,23
1609,Soir,29,9,27,86,39
1610,Soir,60,28,67,57,9
1611,Soir,37,12,75,82,3
1612,Soir,42,70,40,19,56
1613,Soir,30,57,82,29,65
1614,Soir,18,88,45,8,36
1615,Soir,64,49,33,44,70
1616,Soir,47,61,59,57,63
1617,Soir,24,13,47,67,9
1618,Soir,78,79,42,3,86
1619,Soir,37,39,55,69,21
1620,Soir,2,49,81,51,28
1621,Soir,59,30,67,81,77
1622,Soir,87,73,83,41,36
1623,Soir,62,69,50,13,53
1624,Soir,90,74,61,26,68
1625,Soir,47,37,53,21,46
1626,Soir,73,50,81,66,51
1627,Soir,77,31,88,36,50
1628,Soir,44,2,35,86,21
1629,Soir,47,10,9,36,52
1630,Soir,59,77,68,60,66
1631,Soir,42,59,45,1,88
1632,Soir,83,49,22,25,65
1633,Soir,90,37,20,88,27
1634,Soir,50,45,17,20,10
1635,Soir,50,32,10,88,67
1636,Soir,47,62,24,69,63
1637,Soir,67,48,15,44,2
1638,Soir,54,44,75,52,8
1639,Soir,25,28,68,87,48
1640,Soir,29,69,47,41,34
1641,Soir,51,2,47,59,6
1642,Soir,56,27,41,81,43
1643,Soir,6,16,83,23,66
1644,Soir,76,29,73,46,30
1645,Soir,35,68,26,27,71
1646,Soir,21,49,48,10,6
1647,Soir,81,27,1,80,37
1648,Soir,36,53,62,1,74
1649,Soir,75,38,70,34,1
1650,Soir,56,6,24,18,61
1651,Soir,89,11,70,18,42
1652,Soir,17,26,39,57,66
1653,Soir,15,16,75,64,60
1654,Soir,46,66,25,30,26
1655,Soir,47,9,79,42,75
1656,Soir,27,59,58,61,43
1657,Soir,26,56,74,42,18
1658,Soir,10,50,71,70,52
1659,Soir,67,87,46,40,72
1660,Soir,72,59,73,4,65
1661,Soir,13,65,23,69,85
1662,Soir,85,59,76,6,84
1663,Soir,46,63,4,20,24
1664,Soir,83,25,1,78,23
1665,Soir,74,15,53,67,37
1666,Soir,75,1,69,56,16
1667,Soir,24,7,19,42,18
1668,Soir,29,10,8,63,68
1669,Soir,29,66,3,57,25
1670,Soir,64,30,50,65,74
1671,Soir,46,25,83,17,51
1672,Soir,19,39,14,81,24
1673,Soir,86,88,43,4,5
1674,Soir,31,19,81,61,46
1675,Soir,37,15,55,72,34
1676,Soir,5,16,21,9,11
1677,Soir,81,54,80,50,47
1678,Soir,64,17,66,42,60
1679,Soir,67,60,23,18,69
1680,Soir,65,61,42,12,32
1681,Soir,47,18,72,9,17
1682,Soir,34,64,63,68,69
1683,Soir,87,69,28,50,47
1684,Soir,20,26,65,82,74
1685,Soir,36,17,89,3,40
1686,Soir,88,78,51,5,31
1687,Soir,4,47,57,72,33
1688,Soir,26,60,88,41,86
1689,Soir,86,79,57,52,29
1690,Soir,43,60,41,88,25
1691,Soir,41,59,73,12,45
1692,Soir,86,1,83,20,33
1693,Soir,86,1,73,30,87
1694,Soir,46,89,31,19,55
1695,Soir,26,57,3,33,72
1696,Soir,70,71,40,32,89
1697,Soir,52,1,89,28,18
1698,Soir,12,41,61,29,78
1699,Soir,76,72,32,21,19
1700,Soir,52,60,88,3,38
1701,Soir,58,78,41,84,50
1702,Soir,55,14,12,9,6
1703,Soir,39,5,24,88,79
1704,Soir,18,71,85,16,64
1705,Soir,66,11,80,79,7
1706,Soir,78,75,22,50,60
1707,Soir,82,50,30,64,67
1708,Soir,34,38,25,51,82
1709,Soir,67,24,21,15,49
1710,Soir,42,72,60,19,14
1711,Soir,81,69,64,8,48
1712,Soir,47,59,31,57,61
1713,Soir,61,83,26,86,22
1714,Soir,41,31,33,16,13
1715,Soir,43,62,39,44,27
1716,Soir,23,76,84,21,57
1717,Soir,35,12,22,28,75
1718,Soir,81,59,60,56,20
1719,Soir,67,42,84,81,88
1720,Soir,4,90,61,6,72
1721,Soir,84,74,40,23,49
1722,Soir,3,39,52,12,66
1723,Soir,41,53,50,87,37
1724,Soir,46,63,32,4,45
1725,Soir,29,71,51,72,7
1726,Soir,62,31,79,14,24
1727,Soir,24,16,76,81,44
1728,Soir,58,78,6,48,86
1729,Soir,18,69,48,40,34
1730,Soir,14,53,47,42,89
1731,Soir,14,16,61,22,15
1732,Soir,44,71,11,2,13
1733,Soir,54,84,35,15,66
1734,Soir,18,13,37,4,79
1735,Soir,90,40,79,30,19
1736,Soir,42,41,3,61,65
1737,Soir,30,37,19,39,21
1738,Soir,70,22,41,33,66
1739,Soir,14,47,87,38,3
1740,Soir,19,7,53,42,50
1741,Soir,14,75,19,71,83
1742,Soir,39,63,28,88,74
1743,Soir,71,15,75,86,74
1744,Soir,2,1,35,55,36
1745,Soir,27,85,51,74,71
1746,Soir,90,69,89,57,59
1747,Soir,19,13,64,71,55
